word,ahpa,disc
step,stEp,stEp
ride,r2d,r2d
satisfy,s{tIsf2,s{tIsf2
vary,veri,v8rI
swing,swIN,swIN
declare,dIkler,dIkl8R
cost,kQst,kQst
persuade,p3swed,p@sw1d
test,tEst,tEst
earn,3n,3n
enable,Ineb@l,In1bP
light,l2t,l2t
knock,nak,nQk
commit,k@mIt,k@mIt
relax,rIl{ks,rIl{ks
direct,d2rEkt,dIrEkt
steal,stil,stil
rest,rEst,rEst
solve,salv,sQlv
experience,Ikspiri@ns,Iksp7r7ns
associate,@sosiet,@s5SI1t
determine,dIt3mIn,dIt3mIn
respond,rIspand,rIspQnd
sweep,swip,swip
rush,rVS,rVS
occupy,akj@p2,QkjUp2
mix,mIks,mIks
state,stet,st1t
bury,beri,bErI
sink,sINk,sINk
warn,worn,w$n
mark,mark,m#k
clear,klir,kl7R
attach,@t{J,@t{J
sign,s2n,s2n
practise,pr{ktIs,pr{ktIs
scream,skrim,skrim
drag,dr{g,dr{g
complete,k@mplit,k@mplit
dare,der,d8R
fire,f23,f2@R
trust,trVst,trVst
accompany,@kVmp@ni,@kVmp@nI
lower,lo3,l5@R
dry,dr2,dr2
glance,gl{ns,gl#ns
possess,p@zEs,p@zEs
smell,smEl,smEl
suit,sut,sut
head,hEd,hEd
swim,swIm,swIm
blame,blem,bl1m
deliver,dIlIv3,dIlIv@R
expand,Iksp{nd,Iksp{nd
demonstrate,dEm@nstret,dEm@nstr1t
shift,SIft,SIft
wave,wev,w1v
charge,Jar_,J#_
freeze,friz,friz
smoke,smok,sm5k
breathe,briD,briD
grant,gr{nt,gr#nt
cope,kop,k5p
struggle,strVg@l,strVgP
switch,swIJ,swIJ
disturb,dIst3b,dIst3b
select,s@lEkt,sIlEkt
permit,p3mIt,p@mIt
advise,@dv2z,@dv2z
whisper,wIsp3,wIsp@R
boil,b4l,b4l
conclude,k@nklud,k@nklud
dominate,damInet,dQmIn1t
contribute,k@ntrIbjut,k@ntrIbjut
kick,kIk,kIk
link,lINk,lINk
resist,rIzIst,rIzIst
cast,k{st,k#st
stir,st3,st3R
mount,m6nt,m6nt
rub,rVb,rVb
vanish,v{nIS,v{nIS
quote,kwot,kw5t
proceed,pr@sid,pr@sid
fix,fIks,fIks
connect,k@nEkt,k@nEkt
sort,sort,s$t
judge,_V_,_V_
dig,dIg,dIg
hurry,h3i,hVrI
sense,sEns,sEns
retain,rIten,rIt1n
alter,Qlt3,$lt@R
influence,Influ@ns,Infl9ns
launch,lQnJ,l$nJ
twist,twIst,twIst
urge,3_,3_
assure,@Sur,@S$R
pack,p{k,p{k
fold,fold,f5ld
burst,b3st,b3st
conduct,k@ndVkt,k@ndVkt
absorb,@bzorb,@bs$b
waste,west,w1st
dream,drim,drim
wipe,w2p,w2p
relate,rIlet,rIl1t
emphasize,Emf@s2z,Emf@s2z
wander,wand3,wQnd@R
cease,sis,sis
rule,rul,rul
lack,l{k,l{k
phone,fon,f5n
suck,sVk,sVk
fade,fed,f1d
measure,mEZ3,mEZ@R
convert,k@nv3t,k@nv3t
limit,lImIt,lImIt
print,prInt,prInt
aim,em,1m
wrap,r{p,r{p
slide,sl2d,sl2d
appreciate,@priSiet,@priSI1t
elect,IlEkt,IlEkt
flow,flo,fl5
question,kwEsJ@n,kwEsJ@n
shine,S2n,S2n
exhaust,IgzQst,Igz$st
slow,slo,sl5
doubt,d6t,d6t
spring,sprIN,sprIN
grab,gr{b,gr{b
split,splIt,splIt
promote,pr@mot,pr@m5t
float,flot,fl5t
decline,dIkl2n,dIkl2n
part,part,p#t
seize,siz,siz
swear,swer,sw8R
conceal,k@nsil,k@nsil
drift,drIft,drIft
depend,dIpEnd,NA
distinguish,dIstINgwIS,dIstINgwIS
bore,bor,b$R
dine,d2n,d2n
consult,k@nsVlt,k@nsVlt
shock,Sak,SQk
trouble,trVb@l,trVbP
greet,grit,grit
fish,fIS,fIS
long,lQN,lQN
hire,h23,h2@R
match,m{J,m{J
transfer,tr{nsf3,tr{nsf3R
gaze,gez,g1z
store,stor,st$R
entitle,Int2t@l,Int2tP
leap,lip,lip
exploit,Ikspl4t,Ikspl4t
convince,k@nvIns,k@nvIns
beg,bEg,bEg
sigh,s2,s2
challenge,J{l@n_,J{lIn_
found,f6nd,f6nd
calculate,k{lkjUlet,k{lkjUl1t
hesitate,hEz@tet,hEzIt1t
view,vju,vju
eliminate,IlIm@net,IlImIn1t
weigh,we,w1
plant,pl{nt,pl#nt
foster,fQst3,fQst@R
drain,dren,dr1n
march,marJ,m#J
respect,rIspEkt,rIspEkt
startle,start@l,st#tP
list,lIst,lIst
land,l{nd,l{nd
constitute,kanst@tut,kQnstItjut
spoil,sp4l,sp4l
exercise,Eks3s2z,Eks@s2z
advance,@dv{ns,@dv#ns
rent,rEnt,rEnt
condemn,k@ndEm,k@ndEm
terrify,terIf2,tErIf2
predict,prIdIkt,prIdIkt
hunt,hVnt,hVnt
tremble,trEmb@l,trEmbP
construct,k@nstrVkt,k@nstrVkt
line,l2n,l2n
strengthen,strENT@n,strENTH
justify,_Vst@f2,_VstIf2
command,k@m{nd,k@m#nd
figure,fIgj3,fIg@R
snap,sn{p,sn{p
pray,pre,pr1
fulfil,f@lfIl,fUlfIl
back,b{k,b{k
weep,wip,wip
criticize,krItIs2z,krItIs2z
heat,hit,hit
register,rE_Ist3,rE_Ist@R
squeeze,skwiz,skwiz
manufacture,m{njUf{kJ3,m{njUf{kJ@R
pose,poz,p5z
load,lod,l5d
bite,b2t,b2t
peer,pir,p7R
interrupt,Int@rVpt,Int@rVpt
grind,gr2nd,gr2nd
double,dVb@l,dVbP
oblige,@bl2_,@bl2_
lend,lEnd,lEnd
cling,klIN,klIN
explore,Iksplor,Ikspl$R
owe,o,5
flash,fl{S,fl{S
flee,fli,fli
grin,grIn,grIn
stress,strEs,strEs
favour,fev3,f1v@R
obey,obe,@b1
range,ren_,r1n_
compete,k@mpit,k@mpit
adjust,@_Vst,@_Vst
creep,krip,krip
defeat,dIfit,dIfit
diminish,dImInIS,dImInIS
adapt,@d{pt,@d{pt
inquire,Inkw23,Inkw2@R
cool,kul,kul
embarrass,Imber@s,Imb{r@s
capture,k{pJ3,k{pJ@R
interpret,Int3prIt,Int3prIt
guide,g2d,g2d
spin,spIn,spIn
confess,k@nfEs,k@nfEs
trap,tr{p,tr{p
crawl,krQl,kr$l
resemble,rIzEmb@l,rIzEmbP
neglect,nIglEkt,nIglEkt
grasp,gr{sp,gr#sp
reverse,rIv3s,rIv3s
descend,dIsEnd,dIsEnd
drown,dr6n,dr6n
bet,bEt,bEt
harry,heri,h{rI
murder,m3d3,m3d@R
comment,kamEnt,kQmEnt
wound,wund,w6nd
shrug,SrVg,SrVg
date,det,d1t
park,park,p#k
object,@b_Ekt,@b_Ekt
evolve,Ivalv,IvQlv
smash,sm{S,sm{S
melt,mElt,mElt
detect,dItEkt,dItEkt
inherit,InherIt,InhErIt
bleed,blid,blid
tackle,t{k@l,t{kP
ruin,ruIn,rUIn
scratch,skr{J,skr{J
warm,worm,w$m
inspire,Insp23,Insp2@R
persist,p3sIst,p@sIst
communicate,k@mjunIket,k@mjunIk1t
submit,s@bmIt,s@bmIt
finance,f2n{ns,f2n{ns
block,blak,blQk
assemble,@sEmb@l,@sEmbP
brush,brVS,brVS
fling,flIN,flIN
bake,bek,b1k
consume,k@nsum,k@nsjum
concern,k@ns3n,k@ns3n
punish,pVnIS,pVnIS
assess,@sEs,@sEs
distribute,dIstrIbjut,dIstrIbjut
score,skor,sk$R
exclude,Iksklud,Iksklud
relieve,rIliv,rIliv
mutter,mVt3,mVt@R
investigate,InvEst@get,InvEstIg1t
compel,k@mpEl,k@mpEl
differ,dIf3,dIf@R
assert,@s3t,@s3t
hurtle,h3t@l,h3tP
convey,k@nve,k@nv1
spot,spat,spQt
kneel,nil,nil
ease,iz,iz
analyse,{n@l2z,{n@l2z
focus,fok@s,f5k@s
taste,test,t1st
project,pr@_Ekt,pr@_Ekt
explode,Iksplod,Ikspl5d
reckon,rEk@n,rEk@n
frighten,fr2t@n,fr2tH
perceive,p3siv,p@siv
interfere,Int3rfir,Int@f7R
yell,jEl,jEl
race,res,r1s
trace,tres,tr1s
resent,rIzEnt,rIzEnt
participate,partIsIpet,p#tIsIp1t
roar,ror,r$R
stuff,stVf,stVf
cure,kjur,kj9R
anticipate,{ntIs@pet,{ntIsIp1t
fry,fr2,fr2
fetch,fEJ,fEJ
reinforce,riInfors,riInf$s
spare,sper,sp8R
comfort,kVmf3t,kVmf@t
polish,palIS,pQlIS
inspect,InspEkt,InspEkt
clutch,klVJ,klVJ
file,f2l,f2l
crush,krVS,krVS
pile,p2l,p2l
tuck,tVk,tVk
irritate,irItet,IrIt1t
trade,tred,tr1d
free,fri,fri
starve,starv,st#v
provoke,pr@vok,pr@v5k
shrink,SrINk,SrINk
stumble,stVmb@l,stVmbP
chase,Jes,J1s
assist,@sIst,@sIst
ban,b{n,b{n
conceive,k@nsiv,k@nsiv
chew,Ju,Ju
negotiate,nIgoSiet,nIg5SI1t
strip,strIp,strIp
sail,sel,s1l
decorate,dEk@ret,dEk@r1t
strain,stren,str1n
plunge,plVn_,plVn_
betray,bItre,bItr1
risk,rIsk,rIsk
toss,tQs,tQs
translate,tr{nslet,tr{nsl1t
cruise,kruz,kruz
stimulate,stImjUlet,stImjUl1t
shatter,S{t3,S{t@R
carve,karv,k#v
chop,Jap,JQp
thrust,TrVst,TrVst
correct,k@rEkt,k@rEkt
benefit,bEn@fIt,bEnIfIt
better,bEt3,bEt@R
excuse,Ikskjuz,Ikskjuz
breed,brid,brid
pop,pap,pQp
govern,gVv3n,gVvH
damn,d{m,d{m
flourish,fl3IS,flVrIS
plead,plid,plid
desert,dIz3t,dIz3t
seat,sit,sit
stroke,strok,str5k
tempt,tEmpt,tEmpt
crash,kr{S,kr{S
resume,rIzum,rIzjum
devise,dIv2z,dIv2z
crack,kr{k,kr{k
endure,Indur,Indj9R
straighten,stret@n,str1tH
guard,gard,g#d
yield,jild,jild
render,rEnd3,rEnd@R
echo,Eko,Ek5
process,prasEs,pr5sEs
process,prasEs,pr@sEs
disguise,dIsg2z,dIsg2z
furnish,f3nIS,f3nIS
please,pliz,pliz
modify,mad@f2,mQdIf2
educate,E_@ket,E_Uk1t
sway,swe,sw1
seal,sil,sil
apologize,@pal@_2z,@pQl@_2z
spill,spIl,spIl
rescue,rEskju,rEskju
summon,sVm@n,sVm@n
spell,spEl,spEl
contemplate,kant@mplet,kQntEmpl1t
civilize,sIvIl2z,sIvIl2z
murmur,m3m3,m3m@R
qualify,kwal@f2,kwQlIf2
screw,skru,skru
tighten,t2t@n,t2tH
annoy,@n4,@n4
bless,blEs,blEs
round,r6nd,r6nd
batter,b{t3,b{t@R
pump,pVmp,pVmp
witness,wItnIs,wItnIs
allege,@lE_,@lE_
integrate,Int@gret,IntIgr1t
shiver,SIv3,SIv@R
scatter,sk{t3,sk{t@R
discourage,dIsk3I_,dIskVrI_
soak,sok,s5k
snatch,sn{J,sn{J
transmit,tr{nzmIt,tr{nzmIt
shape,Sep,S1p
dump,dVmp,dVmp
type,t2p,t2p
bind,b2nd,b2nd
praise,prez,pr1z
pat,p{t,p{t
poison,p4z@n,p4zH
abolish,@balIS,@bQlIS
renew,rInu,rInju
extract,Ikstr{kt,Ikstr{kt
amaze,@mez,@m1z
dip,dIp,dIp
graze,grez,gr1z
sweat,swEt,swEt
hook,hUk,hUk
stamp,st{mp,st{mp
glow,glo,gl5
speed,spid,spid
progress,pr@grEs,pr5grEs
instruct,InstrVkt,InstrVkt
mumble,mVmb@l,mVmbP
frown,fr6n,fr6n
divorce,dIvors,dIv$s
incorporate,Inkorp3et,Ink$p@r1t
fancy,f{nsi,f{nsI
slap,sl{p,sl{p
fascinate,f{s@net,f{sIn1t
rear,rir,r7R
sip,sIp,sIp
regret,rIgrEt,rIgrEt
copy,kapi,kQpI
wind,w2nd,w2nd
wind,w2nd,wInd
indulge,IndVl_,IndVl_
label,leb@l,l1bP
tip,tIp,tIp
flood,flVd,flVd
condition,k@ndIS@n,k@ndISH
accumulate,@kjumj@let,@kjumjUl1t
reward,rIword,rIw$d
camp,k{mp,k{mp
book,bUk,bUk
bang,b{N,b{N
cancel,k{ns@l,k{nsP
giggle,gIg@l,gIgP
gleam,glim,glim
equal,ikw@l,ikw@l
bounce,b6ns,b6ns
plough,pl6,pl6
gasp,g{sp,g#sp
characterize,kerIkt@r2z,k{r@kt@r2z
empty,Empti,EmptI
induce,Indus,Indjus
tap,t{p,t{p
prop,prap,prQp
bow,b6,b6
bow,b6,b5
advertise,{dv3t2z,{dv@t2z
invade,Inved,Inv1d
locate,loket,l5k1t
jerk,_3k,_3k
shed,SEd,SEd
bait,bet,b1t
curl,k3l,k3l
slam,sl{m,sl{m
curse,k3s,k3s
substitute,sVbstItut,sVbstItjut
rain,ren,r1n
pin,pIn,pIn
spit,spIt,spIt
revive,rIv2v,rIv2v
cheer,Jir,J7R
swell,swEl,swEl
accomplish,@kamplIS,@kVmplIS
contract,k@ntr{kt,k@ntr{kt
exceed,Iksid,Iksid
rattle,r{t@l,r{tP
heal,hil,hil
rip,rIp,rIp
pronounce,pr@n6ns,pr@n6ns
initiate,InISiet,InISI1t
steer,stir,st7R
scramble,skr{mb@l,skr{mbP
rob,rab,rQb
co-ordinate,koordInet,k5$dIn1t
distort,dIstort,dIst$t
grip,grIp,grIp
trail,trel,tr1l
tilt,tIlt,tIlt
trot,trat,trQt
despise,dIsp2z,dIsp2z
entertain,Ent3ten,Ent@t1n
choke,Jok,J5k
recruit,rIkrut,rIkrut
advocate,{dv@ket,{dv@k1t
poke,pok,p5k
survey,s3ve,s@v1
honour,an3,Qn@R
cultivate,kVltIvet,kVltIv1t
utter,Vt3,Vt@R
cheat,Jit,Jit
enhance,Inh{ns,Inh#ns
rock,rak,rQk
crouch,kr6J,kr6J
cater,ket3,k1t@R
shave,Sev,S1v
tease,tiz,tiz
conquer,kaNk3,kQNk@R
intervene,Int3vin,Int@vin
sandwich,s{ndwIJ,s{nwI_
square,skwer,skw8R
blink,blINk,blINk
haunt,hQnt,h$nt
monitor,manIt3,mQnIt@R
weave,wiv,wiv
flush,flVS,flVS
bewilder,bIwIld3,bIwIld@R
horrify,horIf2,hQrIf2
restrict,rIstrIkt,rIstrIkt
signal,sIgn@l,sIgnP
stage,ste_,st1_
heave,hiv,hiv
award,@word,@w$d
widen,w2d@n,w2dH
enlarge,Inlar_,Inl#_
flicker,flIk3,flIk@R
stagger,st{g3,st{g@R
stem,stEm,stEm
top,tap,tQp
astonish,@stanIS,@stQnIS
rage,re_,r1_
manipulate,m@nIpjUlet,m@nIpjUl1t
strive,str2v,str2v
deceive,dIsiv,dIsiv
haul,hQl,h$l
moan,mon,m5n
contact,kant{kt,kQnt{kt
puzzle,pVz@l,pVzP
attain,@ten,@t1n
whip,wIp,wIp
dictate,dIktet,dIkt1t
function,fVNkS@n,fVNkSH
implement,Impl@mEnt,ImplImEnt
venture,vEnJ3,vEnJ@R
formulate,formjUlet,f$mjUl1t
preach,priJ,priJ
stroll,strol,str5l
fund,fVnd,fVnd
exaggerate,Igz{_@ret,Igz{_@r1t
dash,d{S,d{S
execute,Eks@kjut,EksIkjut
shudder,SVd3,SVd@R
dazzle,d{z@l,d{zP
flatter,fl{t3,fl{t@R
exert,Igz3t,Igz3t
sniff,snIf,snIf
bowl,bol,b5l
graduate,gr{_uet,gr{djU1t
quit,kwIt,kwIt
campaign,k{mpen,k{mp1n
whistle,wIs@l,wIsP
calm,kam,k#m
frame,frem,fr1m
welsh,wElS,NA
envisage,InvIzI_,InvIzI_
bomb,bam,bQm
sow,so,s5
dive,d2v,d2v
flutter,flVt3,flVt@R
stride,str2d,str2d
clasp,kl{sp,kl#sp
hurl,h3l,h3l
imitate,Im@tet,ImIt1t
cough,kQf,kQf
hammer,h{m3,h{m@R
centre,sEnt3,sEnt@R
curve,k3v,k3v
scrape,skrep,skr1p
vomit,vamIt,vQmIt
halt,hQlt,h$lt
sue,su,su
envy,Envi,EnvI
market,markIt,m#kIt
squat,skwat,skwQt
adore,@dor,@d$R
exhibit,IgzIbIt,IgzIbIt
ache,ek,1k
circulate,s3kjUlet,s3kjUl1t
erect,irEkt,IrEkt
stun,stVn,stVn
programme,progr{m,pr5gr{m
blur,bl3,bl3R
compensate,kampEnset,kQmpEns1t
glare,gler,gl8R
divert,d2v3t,d2v3t
subject,s@b_Ekt,s@b_Ekt
tread,trEd,trEd
intrigue,Intrig,Intrig
level,lEv@l,lEvP
shove,SVv,SVv
linger,lINg3,lINg@R
nationalize,n{S@n@l2z,n{SH@l2z
hover,hVv3,hQv@R
stain,sten,st1n
thrive,Tr2v,Tr2v
subsidize,sVbsId2z,sVbsId2z
merge,m3_,m3_
isolate,2s@let,2s@l1t
prompt,prampt,prQmpt
boast,bost,b5st
shuffle,SVf@l,SVfP
administer,@dmIn@st3,@dmInIst@R
postpone,postpon,p5stp5n
chat,J{t,J{t
drill,drIl,drIl
depict,dIpIkt,dIpIkt
counter,k6nt3,k6nt@R
rot,rat,rQt
slice,sl2s,sl2s
clap,kl{p,kl{p
shriek,Srik,Srik
structure,strVkJ3,strVkJ@R
strangle,str{Ng@l,str{NgP
presume,prIzum,prIzjum
insert,Ins3t,Ins3t
denounce,dIn6ns,dIn6ns
prevail,prIvel,prIv1l
sprinkle,sprINk@l,sprINkP
stream,strim,strim
kid,kId,kId
defy,dIf2,dIf2
deploy,dIpl4,dIpl4
hug,hVg,hVg
joke,_ok,_5k
sew,so,s5
circle,s3k@l,s3kP
bulge,bVl_,bVl_
comprise,k@mpr2z,k@mpr2z
hum,hVm,hVm
ail,el,1l
groan,gron,gr5n
tumble,tVmb@l,tVmbP
track,tr{k,tr{k
humiliate,hjumIliet,hjumIlI1t
jam,_{m,_{m
quiver,kwIv3,kwIv@R
rotate,rotet,r5t1t
smooth,smuD,smuD
stack,st{k,st{k
infect,InfEkt,InfEkt
torture,torJ3,t$J@R
schedule,skE_u@l,SEdjul
crumble,krVmb@l,krVmbP
lick,lIk,lIk
tune,tun,tjun
blush,blVS,blVS
sob,sab,sQb
lecture,lEkJ3,lEkJ@R
flap,fl{p,fl{p
expel,IkspEl,IkspEl
pace,pes,p1s
bump,bVmp,bVmp
cite,s2t,s2t
steam,stim,stim
tug,tVg,tVg
boom,bum,bum
value,v{lju,v{lju
imprison,ImprIz@n,ImprIzH
quarrel,kwor@l,kwQr@l
flick,flIk,flIk
coincide,koIns2d,k5Ins2d
cripple,krIp@l,krIpP
doom,dum,dum
feature,fiJ3,fiJ@R
speculate,spEkjUlet,spEkjUl1t
cram,kr{m,kr{m
hint,hInt,hInt
wrinkle,rINk@l,rINkP
glitter,glIt3,glIt@R
distress,dIstrEs,dIstrEs
scrub,skrVb,skrVb
motivate,motIvet,m5tIv1t
rape,rep,r1p
pitch,pIJ,pIJ
fasten,f{s@n,f#sH
punch,pVnJ,pVnJ
perch,p3J,p3J
leak,lik,lik
sentence,sEnt@ns,sEnt@ns
insult,InsVlt,InsVlt
deter,dIt3,dIt3R
obsess,@bsEs,@bsEs
drip,drIp,drIp
whirl,w3l,w3l
chatter,J{t3,J{t@R
wreck,rEk,rEk
dedicate,dEdIket,dEdIk1t
harm,harm,h#m
contrast,k@ntr{st,k@ntr#st
bark,bark,b#k
brood,brud,brud
injure,In_3,In_@R
specialize,spES@l2z,spES@l2z
splash,spl{S,spl{S
mingle,mINg@l,mINgP
soar,sor,s$R
spray,spre,spr1
convict,k@nvIkt,k@nvIkt
harden,hard@n,h#dH
rehearse,rIh3s,rIh3s
grope,grop,gr5p
twitch,twIJ,twIJ
illuminate,IlumInet,IlumIn1t
disperse,dIsp3s,dIsp3s
howl,h6l,h6l
sack,s{k,s{k
endorse,Indors,Ind$s
clench,klEnJ,klEnJ
pant,p{nt,p{nt
swirl,sw3l,sw3l
appal,@pQl,@p$l
dangle,d{Ng@l,d{NgP
originate,@rI_@net,@rI_@n1t
milk,mIlk,mIlk
ponder,pand3,pQnd@R
peel,pil,pil
specify,spEsIf2,spEsIf2
mock,mak,mQk
forge,for_,f$_
prosecute,pras@kjut,prQsIkjut
tick,tIk,tIk
loom,lum,lum
industrialize,IndVstri@l2z,IndVstr7l2z
omit,omIt,@mIt
soften,sQf@n,sQfH
chill,JIl,JIl
intensify,IntEnsIf2,IntEnsIf2
discipline,dIsIplIn,dIsIplIn
inhibit,InhIbIt,InhIbIt
reason,riz@n,rizH
distract,dIstr{kt,dIstr{kt
confer,k@nf3,k@nf3R
minimize,mInIm2z,mInIm2z
sponsor,spans3,spQns@R
pinch,pInJ,pInJ
board,bord,b$d
supplement,sVpl@mEnt,sVplImEnt
knit,nIt,nIt
flatten,fl{t@n,fl{tH
retrieve,rItriv,rItriv
number,nVmb3,nVmb@R
skip,skIp,skIp
wail,wel,w1l
aid,ed,1d
edge,E_,E_
dispense,dIspEns,dIspEns
wheel,wil,wil
testify,tEst@f2,tEstIf2
scan,sk{n,sk{n
reconcile,rEk@ns2l,rEk@ns2l
crumple,krVmp@l,krVmpP
roast,rost,r5st
sprawl,sprQl,spr$l
battle,b{t@l,b{tP
dwell,dwEl,dwEl
signify,sIgnIf2,sIgnIf2
trigger,trIg3,trIg@R
grunt,grVnt,grVnt
